kmage;miles;priceRUB;priceUSD;vol;power;fuel
130000;80600;1050000;14285,7;2,0;170;Бензин
48713;30202;1964600;26729,2;2,0;180;Бензин
166777;103402;1070000;14557,8;2,0;170;Бензин
95135;58984;1250000;17006,8;2,0;200;Бензин
72575;44996;709000;9646,3;1,4;122;Бензин
41000;25420;1730000;23537,4;1,4;125;Бензин
157000;97340;750000;10204,1;1,4;122;Бензин
16273;10089;1700000;23129,2;1,4;150;Бензин
25180;15612;2700000;36734,7;2,0;220;Бензин
188108;116627;569000;7741,5;1,4;150;Бензин
93807;58160;785000;10680,3;1,4;150;Бензин
172957;107233;930000;12653,1;2,0;200;Бензин
88822;55070;779000;10598,6;1,4;150;Бензин
15000;9300;1700000;23129,2;1,4;125;Бензин
84000;52080;1295000;17619,0;2,0;210;Бензин
30000;18600;1845000;25102,0;1,4;150;Бензин
46000;28520;1843000;25074,8;1,4;150;Бензин
8000;4960;1929000;26244,9;1,4;150;Бензин
69391;43022;1375000;18707,5;1,4;125;Бензин
227917;141309;699990;9523,7;1,4;122;Бензин
54800;33976;1800000;24489,8;2,0;180;Бензин
36000;22320;1280000;17415,0;1,4;122;Бензин
93584;58022;1417000;19278,9;1,4;150;Бензин
70585;43763;1399000;19034,0;1,4;125;Бензин
83528;51787;1547000;21047,6;1,4;150;Бензин
0;0;2433800;33112,9;2,0;180;Бензин
103696;64292;1275000;17346,9;2,0;180;Бензин
67000;41540;1050000;14285,7;1,4;122;Бензин
125531;77829;775000;10544,2;1,4;150;Бензин
168000;104160;555000;7551,0;1,4;150;Бензин
215000;133300;1040000;14149,7;2,0;170;Бензин
0;0;1806900;24583,7;1,4;150;Бензин
230175;142708;699000;9510,2;1,4;150;Бензин
90400;56048;1600000;21768,7;2,0;170;Бензин
34600;21452;2199000;29918,4;2,0;150;Дизель
104735;64936;894000;12163,3;2,0;170;Бензин
101840;63141;919000;12503,4;1,4;122;Бензин
88500;54870;1149000;15632,6;2,0;170;Бензин
0;0;1762900;23985,0;1,4;150;Бензин
24000;14880;2300000;31292,5;2,0;150;Дизель
0;0;2442600;33232,7;2,0;180;Бензин
117000;72540;1699000;23115,7;1,4;150;Бензин
0;0;2417900;32896,6;2,0;180;Бензин
0;0;2570000;34966,0;2,0;180;Бензин
2974;1844;1755000;23877,5;1,4;150;Бензин
0;0;2545400;34631,3;2,0;180;Бензин
0;0;2046400;27842,2;1,4;150;Бензин
115200;71424;1190000;16190,5;2,0;170;Бензин
0;0;2068300;28140,1;1,4;150;Бензин
0;0;1652900;22488,4;1,4;125;Бензин
0;0;2815800;38310,2;2,0;180;Бензин
0;0;2485400;33815,0;2,0;180;Бензин
0;0;1749900;23808,2;1,4;125;Бензин
0;0;2046400;27842,2;1,4;150;Бензин
45700;28334;1845000;25102,0;1,4;150;Бензин
0;0;1808900;24610,9;1,4;150;Бензин
126368;78348;995000;13537,4;2,0;170;Бензин
82000;50840;1040000;14149,7;2,0;170;Бензин
60500;37510;1525000;20748,3;2,0;180;Бензин
0;0;2545400;34631,3;2,0;180;Бензин
31250;19375;1950000;26530,6;1,4;150;Бензин
0;0;2161100;29402,7;2,0;180;Бензин
0;0;2011900;27372,8;1,4;150;Бензин
0;0;2142100;29144,2;2,0;180;Бензин
180000;111600;950000;12925,2;1,4;122;Бензин
0;0;1873300;25487,1;1,4;150;Бензин
39237;24327;2049000;27877,5;2,0;180;Бензин
60000;37200;1370000;18639,5;1,4;125;Бензин
16800;10416;1890000;25714,3;1,4;150;Бензин
0;0;2540700;34567,3;2,0;180;Бензин
0;0;1763300;23990,5;1,4;125;Бензин
57000;35340;1265000;17210,9;2,0;170;Бензин
118000;73160;990000;13469,4;2,0;170;Бензин
114226;70820;1020000;13877,5;2,0;170;Бензин
173000;107260;685000;9319,7;1,4;122;Бензин
0;0;2320800;31575,5;1,4;150;Бензин
99000;61380;1565000;21292,5;1,4;150;Бензин
150000;93000;700000;9523,8;1,4;122;Бензин
143000;88660;1140000;15510,2;2,0;140;Дизель
120000;74400;950000;12925,2;1,4;150;Бензин
56000;34720;2199000;29918,4;2,0;180;Бензин
0;0;2042900;27794,6;1,4;150;Бензин
19305;11969;1949000;26517,0;1,4;150;Бензин
0;0;2011900;27372,8;1,4;150;Бензин
0;0;2077800;28269,4;1,4;150;Бензин
170000;105400;780000;10612,2;2,0;170;Бензин
0;0;1652900;22488,4;1,4;125;Бензин
29000;17980;1585000;21564,6;1,4;125;Бензин
42130;26121;2282000;31047,6;2,0;150;Дизель
0;0;2161100;29402,7;2,0;180;Бензин
119000;73780;609000;8285,7;1,4;150;Бензин
62038;38464;820000;11156,5;1,4;122;Бензин
142000;88040;780000;10612,2;2,0;170;Бензин
71321;44219;2070000;28163,3;2,0;180;Бензин
78340;48571;1189000;16176,9;1,4;122;Бензин
18800;11656;1950000;26530,6;1,4;150;Бензин
128000;79360;700000;9523,8;2,0;170;Бензин
133000;82460;789000;10734,7;1,4;150;Бензин
159560;98927;999000;13591,8;2,0;170;Бензин
129581;80340;920000;12517,0;2,0;140;Дизель
49343;30593;1497000;20367,3;2,0;140;Дизель
99600;61752;780000;10612,2;1,4;150;Бензин
10000;6200;2515580;34225,6;2,0;150;Дизель
25000;15500;2359000;32095,2;2,0;220;Бензин
114000;70680;929000;12639,5;1,4;150;Бензин
80000;49600;999000;13591,8;1,4;122;Бензин
7000;4340;1680000;22857,1;1,4;125;Бензин
108150;67053;1549000;21074,8;1,4;125;Бензин
50000;31000;1010000;13741,5;1,4;122;Бензин
64000;39680;1335000;18163,3;2,0;170;Бензин
75000;46500;1790000;24353,7;1,4;150;Бензин
34000;21080;1905000;25918,4;1,4;150;Бензин
1500;930;2350000;31972,8;2,0;180;Бензин
115000;71300;769000;10462,6;2,0;140;Дизель
210000;130200;810000;11020,4;2,0;170;Бензин
56182;34833;1760000;23945,6;1,4;150;Бензин
44384;27518;1900000;25850,3;2,0;180;Бензин
199000;123380;1077000;14653,1;2,0;140;Дизель
107000;66340;630000;8571,4;1,4;150;Бензин
17597;10910;2799000;38081,6;2,0;220;Бензин
49960;30975;1910000;25986,4;1,4;150;Бензин
24629;15270;2252300;30643,5;2,0;180;Бензин
250000;155000;475000;6462,6;1,4;150;Бензин
67120;41614;1425000;19387,8;2,0;180;Бензин
37310;23132;2155000;29319,7;2,0;150;Дизель
114684;71104;1836000;24979,6;2,0;150;Дизель
177777;110222;900000;12244,9;2,0;140;Дизель
41000;25420;2080000;28299,3;2,0;180;Бензин
177530;110069;835000;11360,5;2,0;170;Бензин
158764;98434;669000;9102,0;2,0;170;Бензин
168876;104703;1535000;20884,3;1,4;150;Бензин
6400;3968;2499000;34000,0;2,0;180;Бензин
146251;90676;950000;12925,2;1,4;122;Бензин
117655;72946;787000;10707,5;2,0;170;Бензин
880;546;2150000;29251,7;1,4;150;Бензин
0;0;2339900;31835,4;2,0;180;Бензин
0;0;2141900;29141,5;2,0;180;Бензин
0;0;2792100;37987,8;2,0;180;Бензин
0;0;2495400;33951,0;2,0;180;Бензин
28495;17667;1850000;25170,1;1,4;150;Бензин
0;0;2568500;34945,6;2,0;180;Бензин
0;0;2467900;33576,9;2,0;180;Бензин
0;0;2141900;29141,5;2,0;180;Бензин
0;0;2929900;39862,6;2,0;220;Бензин
0;0;2180400;29665,3;2,0;180;Бензин
0;0;2161100;29402,7;2,0;180;Бензин
0;0;2141900;29141,5;2,0;180;Бензин
0;0;2148100;29225,8;2,0;180;Бензин
0;0;2495400;33951,0;2,0;180;Бензин
160000;99200;835000;11360,5;2,0;170;Бензин
0;0;1948900;26515,7;1,4;150;Бензин
0;0;2452400;33366,0;2,0;180;Бензин
0;0;2141900;29141,5;2,0;180;Бензин
0;0;2141900;29141,5;2,0;180;Бензин
0;0;2492200;33907,5;2,0;180;Бензин
78615;48741;1148000;15619,0;2,0;170;Бензин
0;0;2535200;34492,5;2,0;180;Бензин
0;0;2452900;33372,8;2,0;180;Бензин
0;0;1878900;25563,3;1,4;150;Бензин
0;0;2452400;33366,0;2,0;180;Бензин
0;0;2458900;33454,4;2,0;180;Бензин
0;0;2509700;34145,6;2,0;180;Бензин
119004;73782;1000000;13605,4;2,0;170;Бензин
0;0;2142100;29144,2;2,0;180;Бензин
0;0;1903900;25903,4;1,4;150;Бензин
0;0;2147900;29223,1;2,0;180;Бензин
0;0;2509700;34145,6;2,0;180;Бензин
0;0;2164900;29454,4;1,4;150;Бензин
99500;61690;1100000;14966,0;2,0;170;Бензин
166000;102920;590000;8027,2;1,4;150;Бензин
80000;49600;2130000;28979,6;2,0;150;Дизель
345000;213900;700000;9523,8;2,0;170;Бензин
83000;51460;850000;11564,6;1,4;150;Бензин
104001;64481;890000;12108,8;1,4;122;Бензин
0;0;2124800;28908,8;1,4;150;Бензин
70000;43400;1040000;14149,7;2,0;170;Бензин
67000;41540;1870000;25442,2;2,0;180;Бензин
142000;88040;900000;12244,9;2,0;170;Бензин
9500;5890;1950000;26530,6;1,4;150;Бензин
131000;81220;1079000;14680,3;2,0;170;Бензин
97000;60140;1129000;15360,5;2,0;200;Бензин
125000;77500;1300000;17687,1;2,0;180;Бензин
0;0;2239900;30474,8;2,0;180;Бензин
119000;73780;595000;8095,2;1,4;150;Бензин
29570;18333;1679000;22843,5;1,4;150;Бензин
48000;29760;1549000;21074,8;1,4;125;Бензин
47;29;1799000;24476,2;1,4;125;Бензин
2100;1302;2400000;32653,1;1,4;150;Бензин
122000;75640;955000;12993,2;2,0;140;Дизель
97221;60277;897000;12204,1;1,4;150;Бензин
76400;47368;894000;12163,3;1,4;122;Бензин
55719;34546;907000;12340,1;1,4;150;Бензин
36642;22718;1594000;21687,1;1,4;150;Бензин
62950;39029;1347000;18326,5;2,0;170;Бензин
26200;16244;2287000;31115,7;2,0;180;Бензин
76194;47240;2179000;29646,3;2,0;150;Дизель
116130;72001;1197000;16285,7;1,4;125;Бензин
28200;17484;2087000;28394,6;2,0;150;Дизель
159255;98738;736000;10013,6;2,0;170;Бензин
40000;24800;1900000;25850,3;1,4;150;Бензин
0;0;2990200;40683,0;2,0;220;Бензин
181000;112220;700000;9523,8;2,0;170;Бензин
0;0;1712900;23304,8;1,4;125;Бензин
0;0;2766500;37639,5;2,0;180;Бензин
76199;47243;1649000;22435,4;1,4;150;Бензин
0;0;1793900;24406,8;1,4;125;Бензин
0;0;1928900;26243,5;1,4;150;Бензин
